,Entity,Year,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled),GDP_PPP
1641,Morocco,2019,0.0,3.916042222222222,11.636211666666666,3.1269191666666667,0.0,9.756849444444445,77.48746972222222,156.00374277777777,0.0,291465062302.723
1642,Morocco,2020,0.0,3.901656944444445,13.296996111111111,2.8299994444444443,0.0,7.530603611111111,77.79927583333334,138.523865,0.0,276414104195.624
1643,Netherlands,1990,0.0,0.0,0.1555555555555555,0.2361111111111111,9.727777777777778,368.05555555555554,101.66666666666666,428.5198075,0.67,286542749949.345
1644,Netherlands,1991,0.0,0.0,0.2444444444444444,0.2888888888888888,9.247222222222222,410.6944444444444,93.61111111111111,411.34975777777777,0.75,303457972056.002
1645,Netherlands,1992,0.0,0.0027777777777777,0.4083333333333333,0.3333333333333333,10.555555555555555,399.9166666666666,93.33333333333334,431.89184416666666,0.752,315668733747.621
1646,Netherlands,1993,0.0,0.0027777777777777,0.4833333333333333,0.2555555555555555,10.966666666666669,411.30555555555554,94.16666666666669,426.7470441666666,0.863,327215315770.401
1647,Netherlands,1994,0.0,2.77777777777e-05,0.6611111111111111,0.2777777777777778,11.019444444444444,397.2222222222222,100.27777777777776,424.05542777777777,0.939,344098764590.948
1648,Netherlands,1995,0.0,0.0027777777777777,0.8805555555555555,0.2444444444444444,11.161111111111111,408.02777777777777,103.61111111111111,447.4748077777778,1.017,362260977580.398
1649,Netherlands,1996,0.0,0.0055555555555555,1.2138888888888888,0.2222222222222222,11.555555555555555,452.1944444444444,100.0,447.3765361111112,1.316,380633710257.809
1650,Netherlands,1997,0.0,0.0055555555555555,1.3194444444444444,0.2555555555555555,6.688888888888889,423.69444444444446,97.2222222222222,464.7484144444445,1.463,406143111835.01
1651,Netherlands,1998,0.0,0.0097222222222222,1.777777777777778,0.3119722222222222,10.580808333333334,418.38888888888886,99.16666666666666,470.2668044444444,1.590281,435230615545.094
1652,Netherlands,1999,0.0,0.0146388888888888,1.7916666666666663,0.2506916666666666,10.633925,408.77777777777777,86.94444444444444,479.2935502777778,1.788338,462796668420.942
1653,Netherlands,2000,0.0,0.0214166666666666,2.302777777777778,0.3955361111111111,10.886688888888887,409.9166666666667,90.2777777777778,486.1824761111111,2.013194,507559373420.92
1654,Netherlands,2001,0.0,0.0360422222222222,2.2767858333333333,0.3237838888888888,10.963264166666669,418.19444444444446,96.1111111111111,509.7186102777777,2.358034,532415187523.824
1655,Netherlands,2002,0.0,0.0467225,2.5938708333333333,0.3006147222222222,10.730674166666669,413.97222222222223,96.66666666666666,512.0508680555555,2.906752,556285472929.846
1656,Netherlands,2003,0.0,0.0837466666666666,3.590705,0.1962163888888889,10.946444444444444,416.8333333333333,100.0,512.8083927777778,2.547534,554087885182.436
